Step,NodeID,True_X,True_Y,Dist_A0,Dist_A1,Dist_A2,Dist_A3
14,0,2.0000,3.0000,3.5416,8.2865,5.7943,10.8853
14,1,3.0000,4.0000,6.0308,8.5150,4.3510,9.8002
14,2,4.0000,5.0000,6.1722,7.8569,3.6468,7.6696
14,3,5.0000,6.0000,7.8321,7.8462,1.5466,5.5072
14,4,6.0000,7.0000,9.5219,7.9497,1.7712,4.7336
15,0,2.0000,3.0000,2.6393,8.2443,5.8387,10.6009
15,1,3.0000,4.0000,5.0969,7.8626,4.7674,9.2247
15,2,4.0000,5.0000,6.6609,8.0151,3.4182,6.9275
15,3,5.0000,6.0000,7.7181,8.3481,2.0401,5.9964
15,4,6.0000,7.0000,9.3661,9.0229,2.0249,5.1303
16,0,2.0000,3.0000,3.6366,8.1339,6.1464,10.7800
16,1,3.0000,4.0000,4.9238,8.2457,4.0230,8.9449
16,2,4.0000,5.0000,7.2050,7.0512,2.8743,7.9825
16,3,5.0000,6.0000,8.7567,8.0108,2.3607,5.9967
16,4,6.0000,7.0000,9.2639,7.6509,0.8558,5.3826
17,0,2.0000,3.0000,3.3762,8.6741,5.8467,9.5223
17,1,3.0000,4.0000,5.2702,8.2844,4.1863,9.7208
17,2,4.0000,5.0000,6.8859,7.6952,2.6053,7.2481
17,3,5.0000,6.0000,8.1406,8.2127,2.2826,6.0572
17,4,6.0000,7.0000,9.1407,8.2140,1.2021,5.1546
18,0,2.0000,3.0000,3.5994,8.2893,6.0658,10.4377
18,1,3.0000,4.0000,4.8339,8.3138,4.8670,8.8196
18,2,4.0000,5.0000,7.2861,7.7209,3.0746,7.7900
18,3,5.0000,6.0000,7.5297,7.9386,1.5404,6.5846
18,4,6.0000,7.0000,9.1626,8.3346,1.0012,4.5033
19,0,2.0000,3.0000,4.0362,8.5712,6.2050,11.2263
19,1,3.0000,4.0000,4.8963,7.8311,4.8401,9.3314
19,2,4.0000,5.0000,6.6172,8.2232,3.0642,7.5764
19,3,5.0000,6.0000,7.9409,7.5108,2.5133,6.1215
19,4,6.0000,7.0000,9.1672,8.2093,1.3634,4.8208
20,0,2.0000,3.0000,3.2488,8.9393,5.5205,11.4963
20,1,3.0000,4.0000,4.2367,7.6299,4.9547,9.6385
20,2,4.0000,5.0000,6.1663,7.8263,2.8358,7.0790
20,3,5.0000,6.0000,8.4611,7.9789,2.1866,7.1150
20,4,6.0000,7.0000,9.0874,8.3123,1.5933,5.1435
21,0,2.0000,3.0000,3.1019,8.7732,5.7591,10.8474
21,1,3.0000,4.0000,5.0311,7.5451,4.6835,9.7767
21,2,4.0000,5.0000,6.8552,7.7214,3.1986,7.2466
21,3,5.0000,6.0000,7.6636,8.1951,2.2792,6.0903
21,4,6.0000,7.0000,9.1683,8.3453,1.5721,4.4597
22,0,2.0000,3.0000,3.8550,8.7402,6.1753,9.8720
22,1,3.0000,4.0000,5.2082,7.8567,5.2062,9.2466
22,2,4.0000,5.0000,6.8604,8.0164,3.0523,7.8090
22,3,5.0000,6.0000,7.9924,8.0018,2.3526,6.1531
22,4,6.0000,7.0000,9.3862,8.1921,1.3380,5.6020
23,0,2.0000,3.0000,3.6327,9.6125,5.4242,10.5499
23,1,3.0000,4.0000,5.4804,8.1956,5.0665,9.5449
23,2,4.0000,5.0000,6.7600,7.5208,3.4180,7.9192
23,3,5.0000,6.0000,8.1696,7.7061,1.9687,6.5885
23,4,6.0000,7.0000,9.3926,8.1176,2.1738,5.9070
24,0,2.0000,3.0000,4.3512,7.8388,6.2940,10.0911
24,1,3.0000,4.0000,5.2464,8.2808,5.2620,9.8537
24,2,4.0000,5.0000,6.2292,8.2782,2.7863,7.1447
24,3,5.0000,6.0000,8.2654,8.0899,1.7732,6.6239
24,4,6.0000,7.0000,9.2284,8.0053,1.7160,4.5897
25,0,2.0000,3.0000,3.7898,9.2889,5.9035,10.0432
25,1,3.0000,4.0000,5.5671,8.3031,4.2751,9.0445
25,2,4.0000,5.0000,6.4263,7.5127,2.9949,7.4276
25,3,5.0000,6.0000,8.0799,8.2979,1.4837,6.1884
25,4,6.0000,7.0000,9.1047,7.2188,1.9554,4.9498
26,0,2.0000,3.0000,4.2903,8.4395,5.9398,10.6285
26,1,3.0000,4.0000,4.9829,8.2873,4.1870,9.4870
26,2,4.0000,5.0000,6.0907,7.8691,2.9087,8.3095
26,3,5.0000,6.0000,8.3455,8.4014,1.3224,5.4491
26,4,6.0000,7.0000,8.6949,7.9325,1.7181,5.0830
27,0,2.0000,3.0000,3.8465,8.1795,6.1758,11.3002
27,1,3.0000,4.0000,5.2665,8.0292,4.5453,9.0326
27,2,4.0000,5.0000,6.3825,7.9404,3.2825,8.0213
27,3,5.0000,6.0000,8.4361,7.8740,2.3097,6.8816
27,4,6.0000,7.0000,9.2681,7.5168,1.1377,5.1170
28,0,2.0000,3.0000,3.8076,8.4555,5.9775,10.8139
28,1,3.0000,4.0000,5.1771,8.2638,4.7015,9.2559
28,2,4.0000,5.0000,6.3063,8.5006,3.1557,8.1480
28,3,5.0000,6.0000,7.9293,8.3865,2.2105,6.7246
28,4,6.0000,7.0000,9.4338,8.8256,1.7078,5.1928
29,0,2.0000,3.0000,4.1311,8.4988,5.9371,10.0362
29,1,3.0000,4.0000,5.1255,7.5922,4.6479,9.3745
29,2,4.0000,5.0000,5.9479,7.9575,3.1501,7.3630
29,3,5.0000,6.0000,8.1807,7.4729,1.6612,6.0896
29,4,6.0000,7.0000,9.2640,7.8296,0.8373,5.2807
30,0,2.0000,3.0000,2.9779,8.7627,5.8532,9.9817
30,1,3.0000,4.0000,4.6259,7.5947,4.5452,10.0419
30,2,4.0000,5.0000,6.1284,7.4585,2.5821,8.0409
30,3,5.0000,6.0000,7.4342,7.9143,2.0382,6.8215
30,4,6.0000,7.0000,8.8427,7.4999,1.9013,5.4876
31,0,2.0000,3.0000,4.0478,8.2730,5.2253,10.3352
31,1,3.0000,4.0000,5.2968,7.7419,4.9936,8.9544
31,2,4.0000,5.0000,6.0408,8.2411,3.1191,8.1096
31,3,5.0000,6.0000,7.8234,7.8607,2.0696,6.4353
31,4,6.0000,7.0000,9.4154,7.6322,1.3936,4.9133
32,0,2.0000,3.0000,3.7547,8.7971,6.5053,10.1435
32,1,3.0000,4.0000,5.4187,8.3361,3.6849,9.1381
32,2,4.0000,5.0000,6.6224,7.8288,3.0664,7.3561
32,3,5.0000,6.0000,7.8977,7.7914,1.3781,5.8648
32,4,6.0000,7.0000,8.9452,8.1642,1.8124,5.3084
33,0,2.0000,3.0000,3.6252,8.6790,5.7404,10.8792
33,1,3.0000,4.0000,4.8099,8.1530,4.1394,9.1181
33,2,4.0000,5.0000,6.4660,7.8944,3.1324,7.5093
33,3,5.0000,6.0000,8.3221,7.9468,2.8871,6.4837
33,4,6.0000,7.0000,9.7839,8.4338,1.2505,4.8465
34,0,2.0000,3.0000,3.0943,8.4156,5.4247,9.8635
34,1,3.0000,4.0000,5.0739,8.7971,4.1520,9.4885
34,2,4.0000,5.0000,7.2094,7.0415,3.2497,7.7974
34,3,5.0000,6.0000,7.9609,7.0481,1.6722,6.2320
34,4,6.0000,7.0000,9.4570,8.0068,1.3983,5.1338
35,0,2.0000,3.0000,3.2050,8.2808,6.2773,10.8061
35,1,3.0000,4.0000,4.9783,7.0604,4.3415,9.4464
35,2,4.0000,5.0000,6.4957,8.4690,2.4323,7.7588
35,3,5.0000,6.0000,7.7410,8.0890,1.7646,6.0123
35,4,6.0000,7.0000,8.4281,8.1332,1.2664,5.2345
36,0,2.0000,3.0000,3.1534,8.9348,5.6654,10.4364
36,1,3.0000,4.0000,4.9394,8.5306,4.0041,9.1186
36,2,4.0000,5.0000,6.5328,8.4401,3.6885,7.4128
36,3,5.0000,6.0000,7.7712,7.7720,1.9728,6.2551
36,4,6.0000,7.0000,9.1416,7.8648,1.7591,4.5726
37,0,2.0000,3.0000,2.9981,8.2835,5.7683,11.0664
37,1,3.0000,4.0000,4.6135,7.9619,4.7044,9.4889
37,2,4.0000,5.0000,6.7873,7.6064,3.0958,7.8022
37,3,5.0000,6.0000,7.7378,7.3594,2.2700,6.3088
37,4,6.0000,7.0000,9.4533,8.4196,0.8522,5.2807
38,0,2.0000,3.0000,3.5366,8.5321,5.1385,11.2738
38,1,3.0000,4.0000,5.2652,8.9149,4.4464,8.8044
38,2,4.0000,5.0000,6.3115,8.0737,2.8606,8.0558
38,3,5.0000,6.0000,8.4877,8.1634,2.6178,6.0044
38,4,6.0000,7.0000,9.2993,7.4000,1.3261,5.0209
39,0,2.0000,3.0000,3.2449,9.2187,5.4880,10.5942
39,1,3.0000,4.0000,4.9731,8.3917,4.9796,8.7843
39,2,4.0000,5.0000,6.7652,7.7307,2.8862,7.2249
39,3,5.0000,6.0000,8.0548,7.6795,1.8049,6.3052
39,4,6.0000,7.0000,9.5838,8.0481,1.2587,5.0209
40,0,2.0000,3.0000,3.1045,8.4242,5.9882,10.7898
40,1,3.0000,4.0000,5.6218,7.5887,4.3859,9.4011
40,2,4.0000,5.0000,6.5991,7.7106,2.4637,7.5391
40,3,5.0000,6.0000,7.4882,7.9482,1.7797,5.9261
40,4,6.0000,7.0000,9.3302,8.7575,2.0600,5.4606
41,0,2.0000,3.0000,4.0406,8.5936,6.2755,10.9558
41,1,3.0000,4.0000,5.4706,8.3486,4.4181,9.5175
41,2,4.0000,5.0000,6.7259,7.9526,3.4183,8.0253
41,3,5.0000,6.0000,8.2192,7.6248,2.1881,6.2705
41,4,6.0000,7.0000,9.2123,7.7189,1.3935,4.6042
42,0,2.0000,3.0000,3.0505,8.2218,6.7680,10.7527
42,1,3.0000,4.0000,4.9159,8.3092,4.2740,9.1938
42,2,4.0000,5.0000,6.5347,8.3845,3.3230,8.2965
42,3,5.0000,6.0000,7.2720,7.9331,2.5015,6.3217
42,4,6.0000,7.0000,9.3558,8.0428,1.0526,5.4784
43,0,2.0000,3.0000,3.9899,8.2512,5.2843,10.6749
43,1,3.0000,4.0000,5.2228,7.9048,4.3761,9.2417
43,2,4.0000,5.0000,6.9113,7.3972,3.2539,8.0950
43,3,5.0000,6.0000,7.4626,7.7828,2.2206,6.6456
43,4,6.0000,7.0000,9.0812,7.8403,1.4466,4.9478
44,0,2.0000,3.0000,3.7942,8.5769,5.9550,9.7007
44,1,3.0000,4.0000,4.7270,7.8536,4.6354,9.7249
44,2,4.0000,5.0000,5.9246,7.9680,3.0126,8.4123
44,3,5.0000,6.0000,7.7331,8.0237,1.6865,5.9859
44,4,6.0000,7.0000,9.0049,8.8521,1.6645,4.9166
45,0,2.0000,3.0000,4.5099,8.8177,6.8477,10.1676
45,1,3.0000,4.0000,5.4140,7.4749,4.1346,9.5761
45,2,4.0000,5.0000,6.4226,8.1245,2.7432,8.2203
45,3,5.0000,6.0000,7.6453,7.5653,2.0517,6.3683
45,4,6.0000,7.0000,9.2813,8.3731,1.8869,4.7225
46,0,2.0000,3.0000,3.6710,8.3341,6.2710,10.7227
46,1,3.0000,4.0000,4.7431,7.7822,4.3056,8.9943
46,2,4.0000,5.0000,6.4738,8.4262,2.6212,8.1268
46,3,5.0000,6.0000,7.5244,7.8784,1.3954,6.2508
46,4,6.0000,7.0000,8.9939,7.4479,1.1948,5.4012
47,0,2.0000,3.0000,3.7081,8.4924,5.9439,11.0736
47,1,3.0000,4.0000,4.5872,8.3693,4.7750,9.1577
47,2,4.0000,5.0000,6.0943,8.3257,3.5545,7.2875
47,3,5.0000,6.0000,7.7920,8.6719,2.2123,6.1207
47,4,6.0000,7.0000,9.0703,7.7901,1.1702,5.0360
48,0,2.0000,3.0000,4.1385,8.5073,6.0900,10.8603
48,1,3.0000,4.0000,5.1666,8.0945,5.0342,9.2800
48,2,4.0000,5.0000,6.1391,7.9195,2.4463,7.5923
48,3,5.0000,6.0000,7.8179,7.8844,1.6319,6.1165
48,4,6.0000,7.0000,8.5892,8.1639,0.9021,4.3003
49,0,2.0000,3.0000,3.5037,8.1493,5.7493,9.8722
49,1,3.0000,4.0000,4.4107,8.0808,4.5152,8.7854
49,2,4.0000,5.0000,6.7134,7.7021,2.3056,7.7479
49,3,5.0000,6.0000,7.4716,7.5776,2.2643,6.3455
49,4,6.0000,7.0000,9.7861,8.2555,2.2503,5.6843
50,0,2.0000,3.0000,3.3934,8.2539,5.4754,10.9358
50,1,3.0000,4.0000,5.3824,8.1769,4.6545,9.2351
50,2,4.0000,5.0000,5.8018,7.5338,3.1674,7.2277
50,3,5.0000,6.0000,7.6395,7.0426,2.2894,6.2522
50,4,6.0000,7.0000,8.7733,8.3615,1.0242,4.8882
51,0,2.0000,3.0000,3.7997,7.1192,5.7655,10.0110
51,1,3.0000,4.0000,4.3759,8.3929,4.7221,9.0701
51,2,4.0000,5.0000,6.6820,7.5076,2.8648,7.9158
51,3,5.0000,6.0000,8.0282,8.1595,1.9269,6.4143
51,4,6.0000,7.0000,9.0641,7.8888,1.0912,3.9404
52,0,2.0000,3.0000,3.2435,8.4127,6.1173,10.5228
52,1,3.0000,4.0000,5.4128,7.2763,4.0279,9.6231
52,2,4.0000,5.0000,6.4733,7.3777,2.9672,8.2520
52,3,5.0000,6.0000,7.5718,7.6028,2.1586,6.3990
52,4,6.0000,7.0000,9.1394,8.7082,0.6884,5.5905
53,0,2.0000,3.0000,3.3586,8.5009,5.9891,9.9509
53,1,3.0000,4.0000,5.0018,8.2816,4.5318,9.0948
53,2,4.0000,5.0000,7.2370,7.9889,3.6970,7.6012
53,3,5.0000,6.0000,7.8137,7.4131,1.7206,6.0242
53,4,6.0000,7.0000,9.0215,8.4284,1.3676,4.9129
54,0,2.0000,3.0000,3.1200,8.4819,6.6629,10.7012
54,1,3.0000,4.0000,4.7540,7.4871,4.6203,9.2545
54,2,4.0000,5.0000,6.6961,7.9925,3.2319,8.3449
54,3,5.0000,6.0000,7.3377,7.7684,2.3375,6.1499
54,4,6.0000,7.0000,8.8840,8.6944,0.6125,4.5035
55,0,2.0000,3.0000,3.0824,8.7198,5.8793,10.6126
55,1,3.0000,4.0000,5.2760,8.2832,3.8182,9.2204
55,2,4.0000,5.0000,6.4564,7.0992,3.2903,7.6998
55,3,5.0000,6.0000,8.2860,7.8909,1.9062,5.5685
55,4,6.0000,7.0000,9.5306,7.8657,0.7805,4.1495
56,0,2.0000,3.0000,3.7050,8.6312,5.5062,10.7404
56,1,3.0000,4.0000,5.3112,8.6465,4.7814,9.0159
56,2,4.0000,5.0000,5.3544,8.0034,2.5832,7.4626
56,3,5.0000,6.0000,8.1434,8.0527,1.5682,5.4769
56,4,6.0000,7.0000,9.8404,8.2347,1.8603,5.4485
57,0,2.0000,3.0000,3.3519,8.2255,6.0008,11.2163
57,1,3.0000,4.0000,4.9210,8.4167,4.3474,9.7222
57,2,4.0000,5.0000,6.3752,8.4555,3.4330,8.0076
57,3,5.0000,6.0000,8.1562,7.6884,2.3327,6.1894
57,4,6.0000,7.0000,9.2136,7.4584,1.4326,5.1629
58,0,2.0000,3.0000,2.8140,9.1367,6.6932,10.7049
58,1,3.0000,4.0000,5.2468,8.2448,4.2107,9.1849
58,2,4.0000,5.0000,6.2884,7.4482,2.9855,7.5019
58,3,5.0000,6.0000,8.2623,8.0149,2.1513,6.2530
58,4,6.0000,7.0000,9.1990,6.9551,1.2935,4.1410
59,0,2.0000,3.0000,3.4142,9.2156,6.5766,10.5699
59,1,3.0000,4.0000,4.9363,7.7704,4.5345,9.4639
59,2,4.0000,5.0000,6.4712,8.1586,3.5623,7.3910
59,3,5.0000,6.0000,7.7167,8.2254,1.7567,6.3696
59,4,6.0000,7.0000,9.3301,7.3626,1.1949,4.7107
60,0,2.0000,3.0000,3.9298,8.9430,5.6672,9.8885
60,1,3.0000,4.0000,4.8879,7.4350,3.8252,9.2963
60,2,4.0000,5.0000,6.2792,7.5084,3.6760,8.2681
60,3,5.0000,6.0000,7.4470,7.7056,2.0587,6.2800
60,4,6.0000,7.0000,8.9332,8.3554,1.3033,4.3380
61,0,2.0000,3.0000,3.9007,8.5651,5.8236,11.3490
61,1,3.0000,4.0000,5.0407,8.4498,4.3434,9.2118
61,2,4.0000,5.0000,6.4770,7.7721,3.7678,8.4522
61,3,5.0000,6.0000,7.2896,7.9466,1.5262,6.0786
61,4,6.0000,7.0000,8.9431,7.9640,1.0950,4.8439
62,0,2.0000,3.0000,4.1935,8.1929,5.6912,10.7567
62,1,3.0000,4.0000,4.5593,8.2291,3.7819,9.1697
62,2,4.0000,5.0000,5.6856,8.0879,3.5423,7.8412
62,3,5.0000,6.0000,7.7118,8.3485,2.3205,5.5860
62,4,6.0000,7.0000,9.7949,8.3069,1.4815,4.6845
63,0,2.0000,3.0000,3.9267,8.3279,6.3777,11.2309
63,1,3.0000,4.0000,4.5892,7.7585,4.7413,8.7957
63,2,4.0000,5.0000,7.0620,7.9233,2.6961,7.6044
63,3,5.0000,6.0000,7.5898,7.8486,2.2241,5.9332
63,4,6.0000,7.0000,9.5748,8.2210,1.6960,5.1267
64,0,2.0000,3.0000,4.0021,7.8427,5.6434,10.8369
64,1,3.0000,4.0000,5.4445,8.4294,4.0564,8.2940
64,2,4.0000,5.0000,6.9266,7.9106,3.1234,8.4259
64,3,5.0000,6.0000,8.3086,8.1578,1.7955,6.5571
64,4,6.0000,7.0000,9.6607,8.9492,1.8425,5.4961
65,0,2.0000,3.0000,3.6512,8.3220,5.8632,10.5873
65,1,3.0000,4.0000,5.1332,8.2671,4.2939,9.2665
65,2,4.0000,5.0000,6.1342,8.4482,3.4093,7.7679
65,3,5.0000,6.0000,7.9530,8.1353,2.1154,6.2325
65,4,6.0000,7.0000,9.2915,8.1899,1.4388,5.1919
66,0,2.0000,3.0000,3.6829,8.3986,6.6054,10.8892
66,1,3.0000,4.0000,5.2592,7.5609,4.3214,8.7929
66,2,4.0000,5.0000,6.5526,8.0471,2.8090,8.0247
66,3,5.0000,6.0000,8.0459,7.7203,2.0007,7.2704
66,4,6.0000,7.0000,8.8306,7.7690,1.9367,5.3802
67,0,2.0000,3.0000,2.5166,7.6458,5.9167,11.1950
67,1,3.0000,4.0000,4.8965,7.9811,4.5211,9.4152
67,2,4.0000,5.0000,6.2917,8.0488,3.0117,7.8107
67,3,5.0000,6.0000,7.6309,8.8158,1.4138,6.4631
67,4,6.0000,7.0000,9.0075,8.3441,1.1100,4.3873
68,0,2.0000,3.0000,3.1926,8.6046,5.5615,10.0867
68,1,3.0000,4.0000,5.4284,7.8191,4.9956,9.2034
68,2,4.0000,5.0000,7.0089,7.7624,3.1922,8.0275
68,3,5.0000,6.0000,7.7866,7.7511,1.8055,6.0102
68,4,6.0000,7.0000,8.6617,7.9016,2.1440,5.0179
69,0,2.0000,3.0000,3.9270,8.7055,6.2381,10.9544
69,1,3.0000,4.0000,5.5194,8.4225,4.7125,9.1845
69,2,4.0000,5.0000,6.4385,7.9613,3.4625,7.6696
69,3,5.0000,6.0000,7.9842,7.6455,1.8927,6.3525
69,4,6.0000,7.0000,9.0300,7.9315,1.7650,4.6438
70,0,2.0000,3.0000,3.6931,8.2062,5.8897,10.8039
70,1,3.0000,4.0000,5.1861,8.0628,4.5607,9.7341
70,2,4.0000,5.0000,6.5894,7.9712,2.2570,7.8443
70,3,5.0000,6.0000,7.8237,7.9379,2.6995,6.7341
70,4,6.0000,7.0000,8.8899,8.1706,1.3841,5.3569
71,0,2.0000,3.0000,3.1569,7.9480,6.2424,10.4559
71,1,3.0000,4.0000,6.0712,8.1318,4.0453,8.5867
71,2,4.0000,5.0000,6.8409,7.9109,3.7049,7.9716
71,3,5.0000,6.0000,8.1804,8.4707,1.9140,7.3210
71,4,6.0000,7.0000,9.7672,7.6314,1.0995,4.7330
72,0,2.0000,3.0000,3.3514,8.5409,5.5696,9.9132
72,1,3.0000,4.0000,4.0808,7.3963,5.3656,10.1918
72,2,4.0000,5.0000,6.2644,7.7490,3.5393,7.8554
72,3,5.0000,6.0000,7.5664,7.4146,1.2373,6.2972
72,4,6.0000,7.0000,8.1813,8.1362,1.4783,5.0602
73,0,2.0000,3.0000,4.5820,8.8212,5.6957,10.6871
73,1,3.0000,4.0000,5.5347,8.2605,5.2463,8.7340
73,2,4.0000,5.0000,5.8839,8.7662,2.9891,8.1333
73,3,5.0000,6.0000,8.0536,8.2880,1.6451,6.5443
73,4,6.0000,7.0000,9.4325,7.5101,1.3445,4.7098
74,0,2.0000,3.0000,3.8413,9.6275,6.0727,11.1344
74,1,3.0000,4.0000,5.1227,7.9758,3.5752,9.4352
74,2,4.0000,5.0000,6.0041,7.6412,2.8040,8.3708
74,3,5.0000,6.0000,8.1024,7.7191,1.9563,6.7865
74,4,6.0000,7.0000,9.2864,7.5393,1.6017,4.8825
75,0,2.0000,3.0000,4.3588,8.1755,5.6360,10.3583
75,1,3.0000,4.0000,4.7331,7.9626,3.9970,9.5640
75,2,4.0000,5.0000,6.1342,7.7724,3.4181,7.5654
75,3,5.0000,6.0000,8.1542,7.4873,1.9631,6.2588
75,4,6.0000,7.0000,8.9617,8.8049,1.2151,5.3125
76,0,2.0000,3.0000,4.3372,8.4103,5.8832,10.7431
76,1,3.0000,4.0000,4.7502,7.5646,3.9054,9.3758
76,2,4.0000,5.0000,6.3103,8.2150,3.2298,8.1203
76,3,5.0000,6.0000,8.0746,7.6616,1.5742,6.1959
76,4,6.0000,7.0000,9.5612,7.8070,1.8572,5.2480
77,0,2.0000,3.0000,3.4710,8.1835,6.0126,10.6478
77,1,3.0000,4.0000,4.9077,8.7354,4.5487,9.4457
77,2,4.0000,5.0000,6.8193,8.0811,3.9645,8.1763
77,3,5.0000,6.0000,7.7770,7.9075,2.3240,6.0179
77,4,6.0000,7.0000,8.6045,8.3335,1.5345,5.0471
78,0,2.0000,3.0000,2.8831,8.3769,5.5244,10.3311
78,1,3.0000,4.0000,4.7105,7.5347,5.0190,9.2380
78,2,4.0000,5.0000,6.0991,8.1416,3.3480,7.9399
78,3,5.0000,6.0000,8.1260,7.4061,2.3651,6.4028
78,4,6.0000,7.0000,8.9296,7.4004,1.3671,5.5270
79,0,2.0000,3.0000,4.2556,8.3633,6.0121,10.3006
79,1,3.0000,4.0000,4.9531,8.1696,4.5773,8.9552
79,2,4.0000,5.0000,6.7744,7.9710,3.8521,7.6910
79,3,5.0000,6.0000,7.6832,8.0492,1.9521,6.2676
79,4,6.0000,7.0000,8.8784,8.0727,1.3015,5.5842
80,0,2.0000,3.0000,2.5143,8.2763,5.4730,10.9322
80,1,3.0000,4.0000,4.4831,8.5673,4.7924,9.8914
80,2,4.0000,5.0000,6.3503,6.9966,3.3757,8.2609
80,3,5.0000,6.0000,7.9352,8.2672,2.3248,6.9682
80,4,6.0000,7.0000,9.9185,7.9307,1.3335,5.2501
81,0,2.0000,3.0000,4.0628,8.2869,5.7672,10.0242
81,1,3.0000,4.0000,5.2674,7.9374,5.0897,8.8239
81,2,4.0000,5.0000,6.1558,8.2285,3.9199,8.3735
81,3,5.0000,6.0000,7.6889,7.8892,2.9949,6.6728
